repeat,split,model,mae,rmse,crps
1,train,untuned_physics_informed,2.553919782502647,4.138170015152982,2.1946367286133626
1,test,untuned_physics_informed,5.341832634670065,6.311236963374852,4.7984971428355285
1,train,untuned_physics_h_only,4.142522822220901,5.8689222929346725,3.809393534060874
1,test,untuned_physics_h_only,5.679963264117494,6.337764270073206,5.096618532540401
1,train,untuned_physics_p_only,2.553859858611034,4.685377379679091,2.262640952356638
1,test,untuned_physics_p_only,5.092622277841073,5.83367432093373,4.487438352350332
1,train,untuned_physics_better_upstream,2.832783658914814,4.564545024911931,2.4637835424566936
1,test,untuned_physics_better_upstream,5.101071629233952,5.7828444251671645,4.556329485152695
1,train,tuned_physics_informed,4.709127403577643,7.314321574302989,3.7216450925313134
1,test,tuned_physics_informed,3.954514249264406,4.762672641401402,2.8121457115662594
1,train,untuned_physics_mean_only,2.287991776814665,3.584745722417902,2.0005039241539944
1,test,untuned_physics_mean_only,8.053873547550674,9.98832167326286,7.293995865683631
1,train,tuned_physics_mean_only,6.222586071439414e-06,9.149512851997535e-06,0.002115657231597323
1,test,tuned_physics_mean_only,6.756283509975546,7.328229616719498,4.301963638102797
1,train,untuned_process_only,3.4455037355715437,5.169091780144832,3.258906761289975
1,test,untuned_process_only,6.801672732250675,7.912414413222551,6.415011396291585
1,train,untuned_d_phi_only,3.8400385867578817,5.910005557642124,3.6722844193565742
1,test,untuned_d_phi_only,3.5797199976796796,4.356310718861351,3.3652758715190725
1,train,tuned_process_only,3.36574223476417,4.980861189745373,3.0189104437840037
1,test,tuned_process_only,3.4663383977082893,4.014530300940534,2.9457616128646777
1,train,tuned_d_phi_only,4.691718303878653,7.4842363782637005,3.8936186676180213
1,test,tuned_d_phi_only,2.0801339128135274,2.732032975493334,2.139593422197169
2,train,untuned_physics_informed,1.982047467989962,2.458662338557077,1.6888791597751394
2,test,untuned_physics_informed,10.647717251984835,15.006419625437003,10.009139604095362
2,train,untuned_physics_h_only,2.9288598789455023,3.7784165904001705,2.6405309566063146
2,test,untuned_physics_h_only,12.796537611406606,16.58248232080637,12.192303709115928
2,train,untuned_physics_p_only,1.2174278044664861,1.6362040426252966,1.0010082443566233
2,test,untuned_physics_p_only,10.289015228800642,15.118169359849905,9.705910660328842
2,train,untuned_physics_better_upstream,1.8886003539227754,2.372098656683276,1.5892693331772991
2,test,untuned_physics_better_upstream,7.563725310643245,12.959607471276444,7.138874002592783
2,train,tuned_physics_informed,3.375900778229366,4.620120149562738,2.588014388080625
2,test,tuned_physics_informed,8.208107857140732,13.904228713051738,7.2042828436333295
2,train,untuned_physics_mean_only,1.2357823804921766,1.6752362406808263,1.0256380268186738
2,test,untuned_physics_mean_only,10.721818909848773,14.701997347339171,10.110413399606866
2,train,tuned_physics_mean_only,2.901596299526134,3.8343879120116275,2.14936225794723
2,test,tuned_physics_mean_only,9.786551992994058,12.332053529659621,7.678111834052622
2,train,untuned_process_only,2.017344352983701,2.777718859000429,1.8572953559485204
2,test,untuned_process_only,20.657130884882644,24.684311691372674,20.2878878109576
2,train,untuned_d_phi_only,2.664583601537934,3.9785721851421685,2.539148912495855
2,test,untuned_d_phi_only,12.449583446438576,16.643977225890335,11.88105002373109
2,train,tuned_process_only,2.9652705866629128,4.576447336396121,2.5815836237837475
2,test,tuned_process_only,7.434083507109311,13.229421051690625,6.570886817729917
2,train,tuned_d_phi_only,3.205691953090768,4.618852552223376,2.5835300023851033
