repeat,split,target,stat,mae,rmse
1,train,d,mean,0.6974344340644016,0.8950613475578034
1,train,d,std,1.079925027850619,1.72716926431918
1,train,phi,mean,0.2420815036413269,0.6975395757786106
1,train,phi,std,0.011862501536910904,0.03039652367932488
1,test,d,mean,1.4187743520629574,1.6347922211066035
1,test,d,std,2.5206666845155934,2.8600848142460915
1,test,phi,mean,0.05646544121577393,0.07696668649227321
1,test,phi,std,0.005180355837586445,0.006768277118966957
2,train,d,mean,0.7981399032864405,0.9764016185977674
2,train,d,std,1.1266845951998286,1.8659469952900987
2,train,phi,mean,0.22043293264679004,0.6963429918034868
2,train,phi,std,2.850654930167645e-06,9.310989342133409e-06
2,test,d,mean,0.9397481132736937,1.0005715578206462
2,test,d,std,1.5519632218468253,1.9809509549356454
2,test,phi,mean,0.18780642195324382,0.38079222657748546
2,test,phi,std,0.016839309355511232,0.026245126966107837
3,train,d,mean,0.8109024016150173,0.9872585673465912
3,train,d,std,1.3480270539648274,1.9916134844716307
3,train,phi,mean,0.17632081778370193,0.6199225664169121
3,train,phi,std,0.01032300125004762,0.029838967994817885
3,test,d,mean,0.9168360487797029,1.1568144493486863
3,test,d,std,1.639324949180797,2.318583618146036
3,test,phi,mean,0.43125150305519694,0.9665372645961049
3,test,phi,std,0.013837545708031855,0.02914889111477109
4,train,d,mean,0.47150878782857575,0.6042436851891071
4,train,d,std,0.81087053384134,1.0769785114191948
4,train,phi,mean,0.2350816663972891,0.7039192194351687
4,train,phi,std,0.011801074844412875,0.03073617268862696
4,test,d,mean,2.3978505308819464,2.9662358798790365
4,test,d,std,4.834171982939989,6.38554454455443
4,test,phi,mean,0.12099095265618164,0.2070024536376691
4,test,phi,std,0.005429212776121027,0.007572865755922627
5,train,d,mean,0.6849266376103867,0.8456275236433568
5,train,d,std,1.33964343494179,1.9986429998479138
5,train,phi,mean,0.11386095956496375,0.3258616408872731
5,train,phi,std,0.006022024555300575,0.01525465894128686
5,test,d,mean,1.2840258942716398,1.3977152103885118
5,test,d,std,1.9357127739588174,2.174472571112169
5,test,phi,mean,0.1474758640095348,0.20042557368213357
5,test,phi,std,0.0124633290671156,0.01447578929415441
